league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Atlético Madrid,Javi Galán,ESP,DF,30,1994,5,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Javi Morcillo,ESP,MF,19,2006,5,1,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Javier Boñar,ESP,DF,20,2005,4,3,299,3.3,1,0,1,1,0,0,0,0,0.3,0.0,0.3,0.3,0.3,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Johnny Cardoso,USA,MF,23,2001,15,12,887,9.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,José María Giménez,URU,DF,30,1995,16,13,1178,13.1,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,31,1994,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Julio Diaz,ESP,DF,20,2005,4,4,310,3.4,0,1,1,0,0,0,2,0,0.0,0.29,0.29,0.0,0.29,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000,29,22,1895,21.1,8,4,12,6,2,3,2,0,0.38,0.19,0.57,0.28,0.47,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Koke,ESP,MF,33,1992,34,24,2219,24.7,2,2,4,2,0,0,6,0,0.08,0.08,0.16,0.08,0.16,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Marc Pubill,ESP,DF,22,2003,19,15,1381,15.3,1,1,2,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995,29,25,2181,24.2,0,4,4,0,0,0,7,1,0.0,0.17,0.17,0.0,0.17,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Matteo Ruggeri,ITA,DF,23,2002,26,20,1774,19.7,0,3,3,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Miguel Cubo,ESP,FW,17,2008,2,0,50,0.6,1,0,1,1,0,0,0,0,1.8,0.0,1.8,1.8,1.8,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Nahuel Molina,ARG,"DF,MF",27,1998,26,13,1331,14.8,2,2,4,2,0,0,4,0,0.14,0.14,0.27,0.14,0.27,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Nicolás González,ARG,"MF,DF",27,1998,24,18,1448,16.1,5,0,5,5,0,0,4,1,0.31,0.0,0.31,0.31,0.31,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Obed Vargas,MEX,MF,19,2005,12,8,740,8.2,0,1,1,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Pablo Barrios,ESP,MF,22,2003,23,20,1661,18.5,1,1,2,1,0,0,0,0,0.05,0.05,0.11,0.05,0.11,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
