league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Freiburg,Yannik Keitel,GER,"DF,MF",23,2000,10.2,1,6,2,33.3,0.59,0.2,0.17,0.5,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Alassane Pléa,FRA,"FW,MF",30,1993,21.3,7,58,19,32.8,2.73,0.89,0.1,0.32,1,1,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Christoph Kramer,GER,MF,32,1991,2.8,0,1,0,0.0,0.36,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Fabio Chiarodia,ITA,DF,18,2005,1.7,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Florian Neuhaus,GER,MF,26,1997,13.6,4,38,16,42.1,2.79,1.18,0.08,0.19,1,1,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Franck Honorat,FRA,"MF,FW",26,1996,26.1,3,28,10,35.7,1.07,0.38,0.11,0.3,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Grant Ranos,ARM,FW,20,2003,0.5,0,3,0,0.0,5.51,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Joe Scally,USA,"DF,MF",20,2002,24.8,1,11,1,9.1,0.44,0.04,0.09,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Jonas Omlin,SUI,GK,29,1994,7.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Jordan Pefok,USA,FW,27,1996,15.8,5,36,10,27.8,2.28,0.63,0.14,0.5,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Julian Weigl,GER,MF,27,1995,30.7,2,19,6,31.6,0.62,0.2,0.0,0.0,2,2,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Ko Itakura,JPN,"DF,MF",26,1997,17.7,3,21,7,33.3,1.18,0.39,0.14,0.43,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Luca Netz,GER,"MF,DF",20,2003,24.7,0,17,5,29.4,0.69,0.2,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
