league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Barcelona,Gavi,ESP,MF,20,2004,6.4,3,0,0,11,14,0,2,3,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Gerard Martín,ESP,DF,23,2002,23.5,6,0,0,16,7,0,14,31,29,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,24,2001,30.0,1,0,0,0,4,0,0,1,4,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Jofre Torrents,ESP,DF,18,2007,0.6,0,0,0,0,0,0,4,0,2,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,João Cancelo,POR,DF,31,1994,10.6,1,0,0,11,14,4,31,11,19,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Jules Koundé,FRA,DF,26,1998,25.1,6,0,0,24,24,2,40,31,24,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Lamine Yamal,ESP,"MF,FW",18,2007,25.1,1,0,0,28,52,14,77,8,20,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Marc Bernal,ESP,MF,18,2007,8.8,4,0,0,15,11,0,1,12,19,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Marc Casado,ESP,MF,21,2003,11.0,1,0,0,25,20,0,1,7,9,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Marcus Rashford,ENG,"MF,FW",27,1997,19.6,3,0,0,10,25,10,121,2,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Pau Cubarsí,ESP,DF,18,2007,30.0,3,0,0,25,9,0,0,30,28,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Pedri,ESP,MF,22,2002,23.4,2,1,1,9,43,1,12,24,33,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Raphinha,BRA,"MF,FW",28,1996,15.3,5,0,0,10,10,4,72,6,6,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Robert Lewandowski,POL,FW,36,1988,18.5,2,0,0,13,21,17,0,3,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Ronald Araújo,URU,DF,26,1999,11.9,2,0,0,17,3,0,6,10,15,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Roony Bardghji,SWE,"MF,FW",19,2005,7.2,0,0,0,7,8,0,54,2,4,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Tomas Marques,ESP,MF,18,2006,0.1,0,0,0,1,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Toni Fernández,ESP,FW,17,2008,0.5,0,0,0,0,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Wojciech Szczęsny,POL,GK,35,1990,8.0,0,0,0,0,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Barcelona,Xavi Espart,ESP,DF,18,2007,1.8,0,0,0,0,4,0,2,5,1,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Andrés Antañón,ESP,FW,18,2007,0.7,0,0,0,1,0,0,0,0,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Borja Iglesias,ESP,FW,32,1993,21.1,7,0,0,38,30,22,3,0,5,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Bryan Zaragoza,ESP,"FW,MF",23,2001,12.6,1,0,0,7,17,6,67,2,5,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Carl Starfelt,SWE,DF,30,1995,16.6,3,1,1,19,8,0,0,16,16,,,1,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001,6.8,1,0,0,6,1,0,1,5,8,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003,1.7,1,0,0,3,0,0,3,1,0,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Fer López,ESP,"MF,FW",21,2004,13.0,3,0,0,24,18,1,18,6,11,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Ferran Jutglà,ESP,FW,26,1999,18.4,4,0,0,24,30,10,19,8,3,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
ESP-La Liga,2526,Celta Vigo,Fran Beltrán,ESP,MF,26,1999,5.9,0,0,0,10,3,0,2,8,5,,,0,ESP,2025-2026,misc,2026-08-08T22:17:27.896826
