league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Lens,Przemysław Frankowski,POL,MF,28,1995,24.4,3,31,10,32.3,1.27,0.41,0.06,0.2,1,2,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Ruben Aguilar,FRA,"MF,DF",30,1993,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Salis Abdul Samed,GHA,MF,23,2000,16.9,0,5,0,0.0,0.3,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Stijn Spierings,NED,MF,27,1996,1.3,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lens,Wesley Saïd,FRA,FW,28,1995,11.3,7,45,19,42.2,3.97,1.68,0.16,0.37,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Aaron Malouda,FRA,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Adam Ounas,ALG,MF,26,1996,4.6,1,9,4,44.4,1.94,0.86,0.11,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Alan Virginius,FRA,MF,20,2003,0.8,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,24.7,0,17,2,11.8,0.69,0.08,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Andrej Ilic,SRB,FW,23,2000,0.1,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Angel Gomes,ENG,MF,22,2000,28.6,0,34,7,20.6,1.19,0.25,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Ayyoub Bouaddi,MAR,MF,15,2007,1.5,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Bafodé Diakité,FRA,DF,22,2001,18.8,5,16,7,43.8,0.85,0.37,0.31,0.71,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Benjamin André,FRA,MF,32,1990,28.6,4,23,9,39.1,0.81,0.32,0.17,0.44,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Carlos Baleba,CMR,MF,19,2004,0.7,0,2,1,50.0,2.95,1.48,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Edon Zhegrova,KVX,"MF,FW",24,1999,25.4,6,82,29,35.4,3.23,1.14,0.07,0.21,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Gabriel Gudmundsson,SWE,"MF,DF",24,1999,14.1,1,15,5,33.3,1.07,0.36,0.07,0.2,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Hákon Haraldsson,ISL,"MF,FW",20,2003,14.3,2,12,6,50.0,0.84,0.42,0.17,0.33,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Ichem Ferrah,FRA,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Ignacio Miramon,ARG,MF,20,2003,0.4,0,2,1,50.0,4.62,2.31,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Ismaily,BRA,DF,33,1990,27.4,1,7,4,57.1,0.26,0.15,0.14,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Ivan Cavaleiro,POR,"MF,FW",29,1993,8.6,1,11,3,27.3,1.29,0.35,0.09,0.33,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Jonathan David,CAN,FW,23,2000,29.2,19,79,47,59.5,2.7,1.61,0.22,0.36,2,3,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Lille,Leny Yoro,FRA,DF,17,2005,29.7,2,14,8,57.1,0.47,0.27,0.14,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
