league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Le Havre,Emmanuel Sabbi,USA,"MF,FW",25,1997,17.6,5,0,0,26,37,2,20,19,20,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Etienne Youte Kinkoue,FRA,DF,21,2002,21.6,1,0,0,11,5,2,0,43,11,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Gautier Lloris,FRA,DF,28,1995,30.9,2,0,0,35,6,1,3,33,28,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Issa Soumaré,SEN,"FW,MF",22,2000,2.6,0,0,0,7,8,4,2,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Josué Casimir,HAI,"MF,FW",21,2001,22.4,6,0,0,25,28,7,52,13,18,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Loïc Nego,HUN,"MF,DF",32,1991,17.3,3,0,0,22,17,3,44,16,26,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1.0,1,0,0,0,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Mohamed Lamine Bayo,GUI,FW,25,1998,15.4,4,0,0,14,12,7,8,2,6,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Nabil Alioui,FRA,"MF,FW",24,1999,11.2,1,0,0,10,20,6,54,3,2,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Nolan Mbemba,CGO,MF,28,1995,0.2,0,0,0,0,0,0,2,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Oualid El Hajjam,MAR,"DF,MF",32,1991,4.4,1,0,0,13,4,1,10,6,6,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Oussama Targhalline,MAR,MF,21,2002,11.4,4,1,1,13,22,0,8,20,10,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Rassoul Ndiaye,SEN,MF,21,2001,5.8,4,2,1,12,4,1,8,3,16,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Samuel Grandsir,FRA,MF,26,1996,6.7,4,2,1,18,5,4,44,3,12,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Simon Ebonog,CMR,MF,18,2004,0.2,0,0,0,0,1,0,0,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Steve Ngoura,FRA,FW,18,2005,2.5,0,0,0,6,1,2,1,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Yassine Kechta,MAR,MF,21,2002,20.5,4,0,0,30,31,0,20,21,24,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Le Havre,Yoann Salmier,GUF,DF,30,1992,17.4,3,0,0,18,9,3,10,21,9,,,1,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Abdukodir Khusanov,UZB,DF,19,2004,9.0,5,0,0,9,7,0,2,13,11,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Adrien Thomasson,FRA,MF,29,1993,13.3,2,1,0,16,16,5,47,9,14,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Andy Diouf,FRA,MF,20,2003,14.6,2,0,0,12,15,0,46,2,19,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Angelo Fulgini,NCL,MF,26,1996,15.3,1,0,0,8,25,1,112,8,14,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Ayanda Sishuba,BEL,MF,18,2005,0.7,0,0,0,3,4,0,0,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Brice Samba,FRA,GK,29,1994,33.0,3,0,0,1,3,0,0,0,1,,,1,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,David Costa,POR,MF,22,2001,16.6,3,0,0,12,23,0,77,15,10,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Deiver Machado,COL,MF,29,1993,12.5,4,0,0,30,27,2,29,5,18,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Elye Wahi,CIV,FW,20,2003,18.8,10,1,1,20,16,25,9,3,4,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Facundo Medina,ARG,DF,24,1999,30.2,11,0,0,51,19,2,21,23,39,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Faitout Maouassa,FRA,MF,25,1998,0.8,0,0,0,2,1,0,3,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,28.9,4,1,0,27,40,13,95,20,23,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Jean-Louis Leca,FRA,GK,37,1985,1.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Jhoanner Chávez,ECU,"MF,DF",21,2002,5.3,1,0,0,10,4,3,13,5,5,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Jonathan Gradit,FRA,DF,30,1992,23.5,9,1,0,31,26,0,17,36,20,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Julien Le Cardinal,FRA,DF,25,1997,0.6,0,0,0,2,1,0,4,0,2,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Kevin Danso,AUT,DF,24,1998,29.5,6,0,0,24,48,2,3,23,16,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Massadio Haïdara,MLI,"DF,MF",30,1992,8.2,1,0,0,11,7,2,21,11,8,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Morgan Guilavogui,GUI,FW,25,1998,6.3,1,0,0,14,7,7,5,5,10,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Nampalys Mendy,SEN,MF,31,1992,11.7,2,0,0,16,25,0,7,13,19,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
