league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Fiorentina,Marin Pongračić,CRO,DF,27,1997,35,33,2918,32.4,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Mattia Viti,ITA,"MF,DF",23,2002,10,2,265,2.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Moise Kean,ITA,FW,25,2000,26,23,2036,22.6,8,1,9,6,2,2,4,0,0.35,0.04,0.4,0.27,0.31,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Niccolò Fortini,ITA,MF,19,2006,16,2,541,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Nicolò Fagioli,ITA,MF,24,2001,33,30,2554,28.4,2,3,5,2,0,0,5,0,0.07,0.11,0.18,0.07,0.18,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Oliver Christensen,DEN,GK,26,1999,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Pablo Marí,ESP,DF,31,1993,11,9,808,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Pietro Comuzzo,ITA,DF,20,2005,27,18,1696,18.8,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Riccardo Braschi,ITA,FW,18,2006,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Roberto Piccoli,ITA,FW,24,2001,32,16,1672,18.6,4,1,5,4,0,0,1,0,0.22,0.05,0.27,0.22,0.27,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Robin Gosens,GER,"DF,MF",31,1994,26,24,1881,20.9,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Rolando Mandragora,ITA,MF,28,1997,34,30,2421,26.9,7,3,10,6,1,1,7,0,0.26,0.11,0.37,0.22,0.33,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Simon Sohm,SUI,MF,24,2001,16,9,708,7.9,0,1,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
