league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2425,Parma,Botond Balogh,HUN,DF,22,2002,22.8,0,3,0,0.0,0.13,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Dennis Man,ROU,"MF,FW",25,1998,22.2,4,49,20,40.8,2.21,0.9,0.08,0.2,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Drissa Camara,CIV,FW,22,2002,5.0,0,15,5,33.3,3.02,1.01,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Emanuele Valeri,ITA,"DF,MF",25,1998,31.9,2,27,5,18.5,0.85,0.16,0.04,0.2,1,1,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Enrico Delprato,ITA,"DF,MF",24,1999,32.7,4,12,5,41.7,0.37,0.15,0.33,0.8,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Gabriel Charpentier,CGO,FW,25,1999,3.0,1,9,4,44.4,2.99,1.33,0.11,0.25,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Giovanni Leoni,ITA,DF,17,2006,13.3,1,2,1,50.0,0.15,0.08,0.5,1.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Hernani,BRA,MF,30,1994,14.7,3,20,6,30.0,1.36,0.41,0.0,0.0,3,3,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Jacob Ondrejka,SWE,MF,21,2002,4.7,5,14,10,71.4,2.99,2.13,0.36,0.5,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Lautaro Valenti,ARG,DF,25,1999,17.3,1,7,2,28.6,0.4,0.12,0.14,0.5,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34,1990,1.0,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Mandela Keita,BEL,MF,22,2002,20.3,0,5,4,80.0,0.25,0.2,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Mateo Pellegrino,ARG,FW,23,2001,8.2,3,22,9,40.9,2.69,1.1,0.14,0.33,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Mateusz Kowalski,POL,MF,19,2005,0.6,0,1,0,0.0,1.61,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Mathias Løvik,NOR,"DF,MF",20,2003,1.0,0,1,0,0.0,0.98,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Matteo Cancellieri,ITA,"MF,FW",22,2002,15.8,3,22,7,31.8,1.39,0.44,0.14,0.43,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Milan Đurić,BIH,FW,34,1990,3.0,1,5,1,20.0,1.68,0.34,0.2,1.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Mohamed Haj,TUN,MF,19,2005,5.0,1,7,3,42.9,1.39,0.6,0.14,0.33,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Nahuel Estévez,ARG,MF,28,1995,7.3,0,5,1,20.0,0.68,0.14,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Pontus Almqvist,SWE,"FW,MF",25,1999,12.4,1,26,10,38.5,2.1,0.81,0.04,0.1,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Simon Sohm,SUI,MF,23,2001,33.2,4,34,13,38.2,1.02,0.39,0.12,0.31,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Valentin Mihaila,ROU,"MF,FW",24,2000,14.3,0,31,11,35.5,2.17,0.77,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Woyo Coulibaly,MLI,DF,25,1999,12.0,0,3,0,0.0,0.25,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Wylan Cyprien,FRA,MF,29,1995,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Yordan Osorio,VEN,DF,30,1994,1.9,0,1,0,0.0,0.52,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21,2002,36.8,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Roma,Alexis Saelemaekers,BEL,"MF,FW",25,1999,15.4,7,25,12,48.0,1.62,0.78,0.28,0.58,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Roma,Anass Salah-Eddine,MAR,MF,22,2002,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Roma,Angeliño,ESP,"MF,DF",27,1997,35.3,2,24,6,25.0,0.68,0.17,0.08,0.33,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Roma,Artem Dovbyk,UKR,FW,27,1997,26.9,12,63,27,42.9,2.34,1.0,0.16,0.37,2,2,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Roma,Bryan Cristante,ITA,MF,29,1995,22.7,4,30,7,23.3,1.32,0.31,0.13,0.57,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
