country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Austria,Austrian Bundesliga,45,77382,FK Austria Wien,2203,3,11,6,1,4,20,15,19,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,TSV Hartberg,2075,4,11,4,5,2,16,13,17,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,SK Rapid Wien,2055,5,11,4,4,3,12,13,16,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,LASK,2058,6,11,4,3,4,14,15,15,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,SV Ried,2049,7,11,4,1,6,14,17,13,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,WSG Tirol,5405,8,11,3,4,4,13,16,13,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,Wolfsberger AC,2076,9,11,3,2,6,15,18,11,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,SCR Altach,4856,10,11,2,3,6,8,13,9,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,Grazer AK 1902,2052,11,11,1,3,7,7,20,6,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,Austrian Bundesliga,45,77382,FC Blau Weiss Linz,2113,12,11,1,2,8,6,18,5,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,Wolfsberger AC,2076,1,16,5,2,9,21,27,17,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,SV Ried,2049,2,16,4,3,9,17,24,15,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,WSG Tirol,5405,3,16,3,5,8,14,29,14,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,Grazer AK 1902,2052,4,16,3,3,10,16,25,12,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,SCR Altach,4856,5,16,2,6,8,15,24,12,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
Austria,"Austrian Bundesliga, Relegation Round",45,77382,FC Blau Weiss Linz,2113,6,16,1,4,11,9,26,7,Away,AUT,2025-2026,datafc_sofascore,2026-08-09T09:20:30.574942
