league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2425,Gladbach,Robin Hack,GER,MF,25,1998,24.1,4,0,0,19,21,9,61,9,19,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Rocco Reitz,GER,MF,22,2002,20.3,1,0,0,19,38,0,23,54,24,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Shiō Fukuda,JPN,FW,20,2004,0.7,0,0,0,2,0,1,1,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Stefan Lainer,AUT,DF,31,1992,8.4,2,0,0,11,6,3,29,12,13,,,1,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18,2006,4.2,0,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Tim Kleindienst,GER,FW,28,1995,30.4,5,1,1,75,25,23,15,13,15,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36,1988,0.7,0,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Gladbach,Tomáš Čvančara,CZE,"MF,FW",23,2000,9.2,5,1,1,11,6,1,15,4,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Adrian Beck,GER,"MF,FW",27,1997,17.8,1,0,0,16,14,2,31,9,17,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Benedikt Gimber,GER,DF,27,1997,29.7,9,0,0,63,49,1,3,32,47,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Budu Zivzivadze,GEO,FW,30,1994,10.6,0,0,0,9,15,6,5,2,11,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Denis Thomalla,GER,"FW,MF",31,1992,0.0,0,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20,2004,1.3,0,0,0,0,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Frans Krätzig,GER,"MF,DF",21,2003,13.5,1,0,0,7,4,4,38,18,18,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Jan Schöppner,GER,MF,25,1999,29.8,8,0,0,31,20,2,12,43,31,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Jonas Föhrenbach,GER,"DF,MF",28,1996,20.4,3,0,0,13,4,1,58,15,24,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Julian Niehues,GER,MF,23,2001,1.7,1,0,0,1,2,0,0,0,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33,1991,32.7,0,0,0,0,3,0,0,0,1,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Lennard Maloney,USA,"MF,DF",24,1999,8.4,1,0,0,11,4,1,0,13,13,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Luca Kerber,GER,MF,22,2002,8.7,4,0,0,22,8,0,3,5,16,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Léo Scienza,BRA,"MF,FW",25,1998,12.8,1,0,0,16,63,5,81,5,11,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Marnon Busch,GER,"DF,MF",29,1994,15.5,1,0,0,8,7,0,50,14,15,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Marvin Pieringer,GER,FW,24,1999,24.5,7,0,0,50,46,15,11,8,11,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Mathias Honsak,AUT,"MF,FW",27,1996,13.1,1,0,0,14,13,2,47,9,9,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Maximilian Breunig,GER,FW,23,2000,3.9,0,0,0,8,5,1,1,1,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Mikkel Kaufmann,DEN,"FW,MF",23,2001,4.1,2,0,0,5,14,0,2,2,4,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Niklas Dorsch,GER,MF,26,1998,14.8,5,1,0,15,20,0,36,16,18,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Norman Theuerkauf,GER,"DF,MF",37,1987,0.2,0,0,0,1,0,0,0,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Omar Traoré,GER,"DF,MF",26,1998,29.1,7,0,0,23,37,1,107,21,28,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Patrick Mainka,GER,DF,29,1994,34.0,3,0,0,17,21,2,5,65,32,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Paul Wanner,AUT,"MF,FW",18,2005,19.7,2,0,0,23,18,1,54,3,28,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Sirlord Conteh,GER,"MF,FW",28,1996,9.9,2,0,0,8,11,4,21,0,5,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Stefan Schimmer,GER,FW,30,1994,2.7,1,0,0,2,1,2,2,0,0,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Thomas Keller,GER,"MF,DF",24,1999,1.6,2,0,0,6,4,0,0,4,5,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Heidenheim,Tim Siersleben,GER,DF,24,2000,13.1,4,0,0,16,7,0,10,20,14,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Hoffenheim,Adam Hložek,CZE,"FW,MF",22,2002,20.8,2,0,0,16,30,6,20,4,11,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Hoffenheim,Alexander Prass,AUT,"MF,DF",23,2001,17.4,1,0,0,17,25,0,55,11,24,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Hoffenheim,Andrej Kramarić,CRO,MF,33,1991,30.7,4,0,0,12,28,9,116,9,8,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
GER-Bundesliga,2425,Hoffenheim,Anton Stach,GER,"MF,DF",25,1998,28.7,8,0,0,39,34,0,23,49,47,,,0,GER,2024-2025,misc,2026-08-06T23:04:16.356689
