league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2425,Auxerre,Théo Pellenard,FRA,DF,30,1994,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Yoann Cissé,FRA,MF,19,2004,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Abdallah Sima,SEN,"FW,MF",23,2001,27,14,1238,13.8,7,2,9,7,0,0,2,0,0.51,0.15,0.65,0.51,0.65,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Abdoulaye Ndiaye,SEN,DF,22,2002,22,19,1707,19.0,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Axel Camblan,FRA,FW,20,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Bradley Locko,FRA,DF,22,2002,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Brendan Chardonnet,FRA,DF,29,1994,27,27,2416,26.8,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Edimilson Fernandes,SUI,"MF,DF",28,1996,19,12,1105,12.3,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,25,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Hamidou Makalou,MLI,MF,18,2006,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Hianga'a Mbock,FRA,MF,24,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Hugo Magnetti,FRA,MF,26,1998,32,27,2323,25.8,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Ibrahim Salah,MAR,"MF,FW",22,2001,12,4,358,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Jonas Martin,FRA,MF,34,1990,17,5,496,5.5,1,0,1,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Jordan Amavi,FRA,DF,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Julien Le Cardinal,FRA,DF,26,1997,16,15,1378,15.3,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Justin Bourgault,FRA,DF,18,2005,2,2,122,1.4,1,0,1,1,0,0,0,0,0.74,0.0,0.74,0.74,0.74,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Brest,Jérémy Le Douaron,FRA,FW,26,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
