league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Osasuna,Enzo Boyomo,CMR,DF,22,2001,34,2987,88,87.3,33.2,33,89,32,1,45,0,1.38,45,44,1,0.03,1.07,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Iker Benito,ESP,"FW,MF",21,2002,2,37,19,1.1,0.4,0,,0,2,19,14,1.5,0,2,-2,-4.86,-4.81,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Iker Muñoz,ESP,MF,21,2002,23,610,27,17.8,6.8,4,59,1,19,20,5,1.43,10,12,-2,-0.3,-0.23,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Ismael Sierra,ESP,DF,21,2003,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Iñigo Arguibide,ESP,FW,19,2005,0,,,,,0,,0,0,,2,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Javi Martínez,ESP,MF,24,1999,1,6,6,0.2,0.1,0,,0,1,6,14,0.0,0,1,-1,-15.0,-14.92,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Jesús Areso,ESP,DF,25,1999,36,3079,86,90.0,34.2,35,87,24,1,28,1,1.44,47,43,4,0.12,2.23,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Jon Fuentes,ESP,MF,21,2003,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Jon Moncayola,ESP,MF,26,1998,32,2099,66,61.4,23.3,26,74,6,6,28,1,1.34,32,29,3,0.13,0.61,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Jorge Herrando,ESP,DF,23,2001,18,1366,76,39.9,15.2,15,90,15,3,5,20,1.22,14,23,-9,-0.59,-0.81,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,José Arnaiz,ESP,MF,29,1995,15,133,9,3.9,1.5,1,45,0,14,6,18,0.6,2,3,-1,-0.68,-0.59,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Juan Cruz Armada,ESP,DF,32,1992,25,1492,60,43.6,16.6,19,74,6,6,14,12,1.56,19,20,-1,-0.06,0.08,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Kike Barja,ESP,"FW,MF",27,1997,15,315,21,9.2,3.5,3,56,0,12,12,11,1.47,6,3,3,0.86,1.06,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Lucas Torró,ESP,MF,30,1994,35,2957,84,86.5,32.9,35,84,26,0,,1,1.43,41,42,-1,-0.03,0.55,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Moi Gómez,ESP,"MF,FW",30,1994,26,796,31,23.3,8.8,6,76,3,20,17,10,1.27,2,19,-17,-1.92,-2.37,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Nacho Vidal,ESP,DF,29,1995,5,124,25,3.6,1.4,1,90,1,4,9,14,2.0,1,5,-4,-2.9,-2.9,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Pablo Ibáñez,ESP,MF,25,1998,28,1294,46,37.8,14.4,13,71,4,15,25,10,1.54,15,23,-8,-0.56,-0.73,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Pablo Valencia,ESP,GK,23,2001,0,,,,,0,,0,0,,15,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Rafa Fernández,FRA,GK,20,2004,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Raúl,ESP,FW,23,2000,32,750,23,21.9,8.3,5,66,0,27,16,2,1.25,9,14,-5,-0.6,-0.63,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Rubén García,ESP,"FW,MF",31,1993,36,2413,67,70.6,26.8,30,75,4,6,27,0,1.28,34,32,2,0.07,0.61,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Rubén Peña,ESP,"FW,DF",33,1991,25,775,31,22.7,8.6,7,67,1,18,17,11,1.28,9,12,-3,-0.35,-0.31,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Sergio Herrera,ESP,GK,31,1993,37,3330,90,97.4,37.0,37,90,37,0,,0,1.38,48,52,-4,-0.11,-0.11,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Sixtus Ogbuehi,NGA,FW,21,2003,0,,,,,0,,0,0,,3,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Osasuna,Unai García,ESP,DF,32,1992,3,65,22,1.9,0.7,1,60,0,2,3,34,1.33,0,4,-4,-5.54,-5.54,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Abdul Mumin,GHA,DF,26,1998,24,2017,84,59.0,22.4,24,84,21,0,,0,1.46,24,21,3,0.13,0.58,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Adri Embarba,ESP,"MF,FW",32,1992,35,1607,46,47.0,17.9,18,69,1,17,22,3,1.43,20,22,-2,-0.11,-0.01,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Alfonso Espino,URU,DF,32,1992,16,833,52,24.4,9.3,9,76,3,7,22,13,1.25,10,15,-5,-0.54,-0.58,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Andrei Ratiu,ROU,"DF,MF",26,1998,35,3065,88,89.6,34.1,34,89,31,1,34,1,1.37,37,41,-4,-0.12,-0.12,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
