league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Holstein Kiel,Lasse Rosenboom,GER,MF,22,2002,26,21,1734,19.3,2,2,4,2,0,0,3,0,0.1,0.1,0.21,0.1,0.21,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Lewis Holtby,GER,MF,33,1990,25,13,1238,13.8,0,1,1,0,0,0,1,1,0.0,0.07,0.07,0.0,0.07,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Magnus Knudsen,NOR,MF,23,2001,31,22,1850,20.6,0,1,1,0,0,0,7,0,0.0,0.05,0.05,0.0,0.05,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Marco Komenda,CRO,DF,27,1996,19,17,1307,14.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Marko Ivezić,SRB,DF,22,2001,23,18,1657,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Marvin Schulz,GER,"DF,MF",29,1995,12,3,306,3.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Max Geschwill,GER,DF,23,2001,19,13,1282,14.2,1,2,3,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Nicolai Remberg,GER,MF,24,2000,32,26,2417,26.9,0,1,1,0,0,0,11,0,0.0,0.04,0.04,0.0,0.04,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Patrick Erras,GER,DF,29,1995,10,10,832,9.2,1,0,1,1,0,0,2,0,0.11,0.0,0.11,0.11,0.11,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Phil Harres,GER,FW,22,2002,26,17,1544,17.2,8,1,9,8,0,0,3,0,0.47,0.06,0.52,0.47,0.52,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Shuto Machino,JPN,"FW,MF",24,1999,32,23,1953,21.7,11,2,13,9,2,2,2,0,0.51,0.09,0.6,0.41,0.51,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
GER-Bundesliga,2425,Holstein Kiel,Steven Skrzybski,GER,"FW,MF",31,1992,24,15,1323,14.7,6,3,9,5,1,1,0,0,0.41,0.2,0.61,0.34,0.54,GER,2024-2025,standard,fbref_soccerdata,2026-08-10 21:51:51
