league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Oviedo,Ovie Ejaria,ENG,MF,27,1997,2.2,0,3,1,33.3,1.35,0.45,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Pablo Agudín,ESP,MF,17,2007,1.0,0,2,0,0.0,2.0,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Rahim Bonkano,NIG,DF,23,2002,19.0,0,3,0,0.0,0.16,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Salomón Rondón,VEN,FW,35,1989,11.5,2,24,5,20.8,2.09,0.44,0.08,0.4,0,1,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Santi Cazorla,ESP,MF,40,1984,10.4,0,7,1,14.3,0.67,0.1,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Santiago Colombatto,ARG,MF,28,1997,22.9,0,15,2,13.3,0.65,0.09,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Thiago Borbas,URU,FW,23,2002,2.0,0,5,2,40.0,2.51,1.01,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Thiago Fernández,ARG,"MF,FW",21,2004,9.1,0,13,5,38.5,1.43,0.55,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Oviedo,Álex Forés,ESP,FW,24,2001,4.0,0,8,2,25.0,2.0,0.5,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Abdul Mumin,GHA,DF,27,1998,0.9,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Alexandre Alemão,BRA,FW,27,1998,12.6,4,26,12,46.2,2.06,0.95,0.15,0.33,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Alfonso Espino,URU,"DF,MF",33,1992,16.5,2,20,9,45.0,1.21,0.55,0.1,0.22,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Andrei Ratiu,ROU,DF,27,1998,31.2,0,31,9,29.0,0.99,0.29,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Augusto Batalla,ARG,GK,29,1996,34.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
