league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2526,Strasbourg,Martial Godo,CIV,MF,22,2003,28,1584,57,51.8,17.6,18,79,8,10,15,2,1.68,41,23,18,1.02,1.45,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Mathis Amougou,FRA,MF,19,2006,12,409,34,13.4,4.5,4,63,0,8,20,15,1.42,5,8,-3,-0.66,-1.14,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Max Oyedele,POL,"MF,DF",20,2004,8,446,56,14.6,5.0,6,72,3,2,7,4,1.5,9,10,-1,-0.2,-0.61,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Mike Penders,BEL,GK,20,2005,33,2970,90,97.1,33.0,33,90,33,0,,0,1.52,57,47,10,0.3,-0.7,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Ogbonna Chizurum,NGA,FW,18,2007,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Rabby Nzingoula,FRA,MF,19,2005,4,51,13,1.7,0.6,0,,0,4,13,6,0.75,1,0,1,1.76,1.47,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Rafael Gonçalves,POR,"MF,DF",20,2005,12,588,49,19.2,6.5,6,79,4,6,19,17,1.67,8,13,-5,-0.77,-1.35,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Samir El Mourabet,MAR,MF,19,2005,33,2128,64,69.5,23.6,25,76,10,8,27,0,1.58,41,28,13,0.55,0.74,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Samuel Amo-Ameyaw,ENG,"MF,DF",19,2006,25,1047,42,34.2,11.6,9,77,5,16,22,5,1.4,13,18,-5,-0.43,-1.15,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Sebastian Nanasi,SWE,MF,23,2002,19,1050,55,34.3,11.7,11,80,5,8,21,9,1.63,24,17,7,0.6,0.42,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Sekou Mara,FRA,FW,23,2002,0,,,,,0,,0,0,,2,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Soumaïla Coulibaly,FRA,DF,21,2003,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Stefan Bajic,FRA,GK,23,2001,0,,,,,0,,0,0,,11,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Tyrese Noubissié,FRA,MF,16,2009,4,58,15,1.9,0.6,0,,0,4,15,3,1.75,3,0,3,4.66,4.42,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Valentín Barco,ARG,MF,21,2004,27,2168,80,70.8,24.1,24,86,18,3,36,0,1.81,45,33,12,0.5,0.6,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Yaya Diémé,SEN,FW,17,2007,3,154,51,5.0,1.7,2,73,0,1,9,1,1.33,2,2,0,0.0,-0.34,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Strasbourg,Yoann Becker,FRA,DF,16,2009,0,,,,,0,,0,0,,2,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Adam El Ouali,FRA,MF,18,2006,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Alexis Vossah,FRA,MF,17,2008,23,1092,47,36.8,12.1,12,73,2,11,20,7,1.39,22,15,7,0.58,0.86,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Aron Dønnum,NOR,MF,27,1998,28,2419,86,81.4,26.9,28,86,23,0,,0,1.29,41,37,4,0.15,0.64,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Charlie Cresswell,ENG,DF,22,2002,29,2533,87,85.3,28.1,28,89,27,1,32,0,1.31,41,35,6,0.21,1.24,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Cristian Cásseres Jr.,VEN,MF,25,2000,30,2495,83,84.0,27.7,28,87,22,2,32,0,1.26,35,38,-3,-0.11,-0.87,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Dayann Methalie,FRA,MF,19,2006,27,1871,69,63.0,20.8,22,79,6,5,27,0,1.14,21,29,-8,-0.38,-1.12,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Djibril Sidibé,FRA,"MF,DF",33,1992,32,2141,67,72.1,23.8,25,82,12,7,14,1,1.33,31,34,-3,-0.13,-0.56,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Emersonn,BRA,FW,21,2004,27,1499,56,50.5,16.7,18,69,3,9,29,0,1.18,20,18,2,0.12,0.18,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Enzo Faty,FRA,FW,18,2007,0,,,,,0,,0,0,,2,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Francis Abu,GHA,MF,24,2001,8,526,66,17.7,5.8,7,69,1,1,45,3,1.13,10,7,3,0.51,0.59,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Frank Magri,CMR,"FW,MF",25,1999,17,1253,74,42.2,13.9,16,77,3,1,28,0,1.53,18,17,1,0.07,0.07,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Frédéric Efuele,COD,DF,20,2005,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Gaëtan Bakhouche,FRA,DF,20,2005,0,,,,,0,,0,0,,13,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Guillaume Restes,FRA,GK,20,2005,33,2939,89,99.0,32.7,33,89,32,0,,0,1.32,46,45,1,0.03,0.03,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Ilyas Azizi,FRA,FW,17,2008,3,29,10,1.0,0.3,0,,0,3,10,4,1.33,2,1,1,3.1,3.1,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Jacen Russell-Rowe,CAN,FW,22,2002,13,472,36,15.9,5.2,5,64,0,8,19,1,1.08,7,10,-3,-0.57,-0.72,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Jaydee Canvot,FRA,"MF,DF",19,2006,2,180,90,6.1,2.0,2,90,2,0,,0,3.0,3,0,3,1.5,1.56,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Julián Vignolo,ARG,MF,18,2006,13,195,15,6.6,2.2,1,45,0,12,13,20,1.15,4,4,0,0.0,-0.03,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Kjetil Haug,NOR,GK,27,1998,1,31,31,1.0,0.3,0,,0,1,31,32,3.0,1,1,0,0.0,-0.03,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Mario Sauer,SVK,MF,21,2004,25,651,26,21.9,7.2,6,64,1,19,14,5,1.2,11,16,-5,-0.69,-0.92,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Mark McKenzie,USA,DF,26,1999,29,2404,83,80.9,26.7,27,88,24,2,19,0,1.33,37,38,-1,-0.04,-0.36,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Mathis Saka,FRA,FW,18,2006,1,8,8,0.3,0.1,0,,0,1,8,2,3.0,0,0,0,0.0,-0.03,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Naime Said Mchindra,COM,GK,20,2005,0,,,,,0,,0,0,,11,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Niklas Schmidt,GER,"FW,MF",27,1998,0,,,,,0,,0,0,,4,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Noah Edjouma,FRA,FW,19,2005,12,256,21,8.6,2.8,2,61,0,10,13,8,1.42,4,2,2,0.7,0.74,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Noah Lahmadi,FRA,MF,20,2005,0,,,,,0,,0,0,,6,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Pape Demba Diop,SEN,MF,21,2003,15,1181,79,39.8,13.1,13,85,6,2,38,0,1.19,17,21,-4,-0.3,-0.56,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Rafik Messali,FRA,MF,22,2003,12,502,42,16.9,5.6,5,70,2,7,22,1,1.25,8,2,6,1.08,1.26,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Toulouse,Rasmus Nicolaisen,DEN,DF,28,1997,32,2564,80,86.3,28.5,30,84,24,2,15,0,1.36,43,41,2,0.07,0.29,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
