league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2425,Bologna,Tommaso Pobega,ITA,MF,25,1999,13.1,6,2,1,33,14,0,8,15,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,26.3,1,0,0,1,4,0,0,1,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Adam Obert,SVK,"DF,MF",21,2002,12.0,4,0,0,22,7,0,10,21,17,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,6.9,0,0,0,0,0,0,0,1,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Alessandro Deiola,ITA,MF,28,1995,15.9,6,0,0,32,11,0,14,13,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Antoine Makoumbou,CGO,MF,26,1998,23.9,4,1,1,27,15,0,7,17,22,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18.0,0,0,0,0,6,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Florinel Coman,ROU,"MF,FW",26,1998,2.9,2,0,0,8,9,0,2,1,3,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Gabriele Zappa,ITA,DF,24,1999,34.0,4,0,0,25,18,0,73,22,25,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Gianluca Gaetano,ITA,"MF,FW",24,2000,11.2,0,0,0,16,13,4,23,7,8,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Gianluca Lapadula,PER,FW,34,1990,3.4,1,0,0,9,1,1,3,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,José Luis Palomino,ARG,DF,34,1990,12.0,3,0,0,11,2,0,0,21,17,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Kingstone Mutandwa,ZAM,FW,21,2003,1.4,0,0,0,7,1,0,1,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Leonardo Pavoletti,ITA,FW,35,1988,4.9,5,0,0,25,7,7,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Mateusz Wieteska,POL,DF,27,1997,2.0,1,0,0,4,0,0,0,7,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Matteo Prati,ITA,MF,20,2003,6.3,1,0,0,8,6,0,5,7,4,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Mattia Felici,ITA,MF,23,2001,10.3,1,0,0,18,17,4,25,5,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Michel Ndary Adopo,FRA,MF,24,2000,26.8,5,1,1,29,16,0,8,26,34,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Nadir Zortea,ITA,MF,25,1999,30.1,2,0,0,33,22,1,119,19,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Nicola Pintus,ITA,DF,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Nicolas Viola,ITA,"MF,FW",34,1989,14.1,2,0,0,20,34,8,80,3,7,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Paulo Azzi,BRA,MF,30,1994,4.7,2,0,0,5,3,0,22,4,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Roberto Piccoli,ITA,FW,23,2001,34.7,6,0,0,60,54,23,8,3,10,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Răzvan Marin,ROU,MF,28,1996,15.6,4,0,0,25,13,0,77,2,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Sebastiano Luperto,ITA,DF,27,1996,36.0,4,0,0,23,20,1,8,30,28,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13.0,0,0,0,0,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Tommaso Augello,ITA,"MF,DF",29,1994,30.1,3,0,0,15,11,3,208,14,27,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Yerry Mina,COL,DF,29,1994,28.5,6,1,1,40,57,2,1,39,34,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Cagliari,Zito Luvumbo,ANG,"FW,MF",22,2002,17.8,2,0,0,38,51,11,65,4,7,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alberto Cerri,ITA,FW,28,1996,1.0,0,0,0,3,1,2,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alberto Dossena,ITA,DF,25,1998,20.3,1,1,0,22,16,0,1,22,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alberto Moreno,ESP,DF,32,1992,19.2,4,0,0,17,14,1,49,13,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alessandro Gabrielloni,ITA,FW,30,1994,1.6,1,0,0,6,4,1,1,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alessio Iovine,ITA,DF,33,1991,4.3,2,0,0,5,6,0,17,3,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Ali Jasim,IRQ,MF,20,2004,0.1,0,0,0,1,0,0,1,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Alieu Fadera,GAM,MF,22,2001,18.3,2,1,0,40,50,14,39,12,47,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Anastasios Douvikas,GRE,FW,24,1999,6.4,1,0,0,13,17,1,2,1,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Andrea Belotti,ITA,FW,30,1993,6.6,1,0,0,9,19,5,5,1,5,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Assane Diao,SEN,"MF,FW",18,2005,13.9,2,0,0,20,49,6,12,2,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Ben Lhassine Kone,CIV,MF,24,2000,0.6,1,0,0,1,1,0,0,1,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Daniele Baselli,ITA,MF,32,1992,0.2,0,0,0,0,1,0,0,1,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
